vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
bebek,park-yatak,Park Yatak / Oyun Parkı,Uyku ve taşıma,sabit,3169,5999,13074,2495,15899,38,2,amazon; ebebek,2026-08-05
kedi,kedi-kumu,Kedi Kumu (aylık),Aylık sarf,sabit,242,394,504,107,901,60,2,amazon; petzzshop,2026-08-09
kedi,kedi-mamasi,Kedi Maması (aylık),Aylık sarf,sabit,580,1412,3351,118,5087,74,2,amazon; petzzshop,2026-08-09
kedi,mama-su-kabi,Mama ve Su Kabı,Beslenme,sabit,154,356,600,99,1352,62,2,amazon; petzzshop,2026-08-09
kedi,tasima-cantasi,Taşıma Çantası,Taşıma,sabit,1132,2170,3880,212,9181,63,2,amazon; petzzshop,2026-08-09
kedi,kedi-tuvaleti,Kedi Tuvaleti,Tuvalet,sabit,580,1690,4344,445,9999,27,1,amazon,2026-08-09
kedi,kedi-oyuncagi,Kedi Oyuncağı,Yaşam alanı,sabit,85,138,224,50,500,72,2,amazon; petzzshop,2026-08-09
kedi,kedi-yatagi,Kedi Yatağı,Yaşam alanı,sabit,1231,1448,2206,199,3975,64,2,amazon; petzzshop,2026-08-09
kedi,tirmalama,Tırmalama Tahtası,Yaşam alanı,sabit,300,549,1017,150,1575,41,1,amazon,2026-08-09
kopek,kopek-mamasi,Köpek Maması (aylık),Aylık sarf,sabit,990,2714,5288,105,7051,69,2,amazon; petzzshop,2026-08-09
kopek,cis-pedi,Çiş Pedi (aylık),Aylık sarf,sabit,250,366,1235,150,1470,43,1,amazon,2026-08-09
kopek,kopek-mama-kabi,Köpek Mama ve Su Kabı,Beslenme,sabit,207,409,699,129,975,47,1,amazon,2026-08-09
kopek,kopek-tasmasi,Köpek Tasması,Gezdirme,sabit,178,421,1104,76,1656,62,2,amazon; petzzshop,2026-08-09
kopek,kopek-tasima,Taşıma Çantası / Kafes,Gezdirme,sabit,844,1632,3014,411,4720,44,1,amazon,2026-08-09
kopek,kopek-oyuncagi,Köpek Oyuncağı,Yaşam alanı,sabit,112,282,799,36,1111,79,2,amazon; petzzshop,2026-08-09
kopek,kopek-yatagi,Köpek Yatağı,Yaşam alanı,sabit,1296,1880,2797,209,3975,59,2,amazon; petzzshop,2026-08-09
arac,bmw,BMW,Marka bazlı fiyatlar,sabit,4468450,8159300,15799000,3724500,21870500,60,1,donanimhaber,2026-08-05
arac,byd,BYD,Marka bazlı fiyatlar,sabit,4133500,5145500,,4077000,,4,1,donanimhaber,2026-08-05
arac,chery,Chery,Marka bazlı fiyatlar,sabit,2310000,2672500,,2310000,,3,1,donanimhaber,2026-08-05
arac,citroen,Citroen,Marka bazlı fiyatlar,sabit,1790000,2236000,2570000,1595000,2960000,17,1,donanimhaber,2026-08-05
arac,cupra,Cupra,Marka bazlı fiyatlar,sabit,2700000,3502500,4520000,2650000,4520000,7,1,donanimhaber,2026-08-05
arac,dacia,Dacia,Marka bazlı fiyatlar,sabit,1436500,1725000,1835500,1299000,1850000,12,1,donanimhaber,2026-08-05
arac,fiat,Fiat,Marka bazlı fiyatlar,sabit,1064900,1955200,2090500,609900,2289900,15,1,donanimhaber,2026-08-05
arac,ford,Ford,Marka bazlı fiyatlar,sabit,2158700,2736050,3779850,2131500,4266600,17,1,donanimhaber,2026-08-05
arac,honda,Honda,Marka bazlı fiyatlar,sabit,2592000,4015000,6160000,2525000,6160000,7,1,donanimhaber,2026-08-05
arac,hyundai,Hyundai,Marka bazlı fiyatlar,sabit,1699500,2100000,3434000,1487000,3720000,28,1,donanimhaber,2026-08-05
arac,kia,Kia,Marka bazlı fiyatlar,sabit,1960000,2485000,3705000,1435000,3760000,18,1,donanimhaber,2026-08-05
arac,mg,MG,Marka bazlı fiyatlar,sabit,2676000,3282500,3450000,2655000,3450000,5,1,donanimhaber,2026-08-05
arac,mercedes,Mercedes,Marka bazlı fiyatlar,sabit,4873000,10108500,22726500,3222000,30448000,42,1,donanimhaber,2026-08-05
arac,nissan,Nissan,Marka bazlı fiyatlar,sabit,2757600,3808500,4755700,2270900,5615600,18,1,donanimhaber,2026-08-05
arac,opel,Opel,Marka bazlı fiyatlar,sabit,1845500,2166500,3179000,1535000,3570000,21,1,donanimhaber,2026-08-05
arac,peugeot,Peugeot,Marka bazlı fiyatlar,sabit,2038250,2773000,3557250,1624000,3644000,20,1,donanimhaber,2026-08-05
arac,renault,Renault,Marka bazlı fiyatlar,sabit,1937500,2436000,3130000,1830000,3490000,23,1,donanimhaber,2026-08-05
arac,seat,Seat,Marka bazlı fiyatlar,sabit,1912500,2470500,,1857000,,4,1,donanimhaber,2026-08-05
arac,skoda,Skoda,Marka bazlı fiyatlar,sabit,2344900,3812400,6924900,1874900,7224900,41,1,donanimhaber,2026-08-05
arac,suzuki,Suzuki,Marka bazlı fiyatlar,sabit,2108500,2474500,2731500,2079000,2783000,12,1,donanimhaber,2026-08-05
arac,tesla,Tesla,Marka bazlı fiyatlar,sabit,3078892,4583000,,2474985,,4,1,donanimhaber,2026-08-05
arac,togg,Togg,Marka bazlı fiyatlar,sabit,1909048,2411000,,1886000,,8,1,donanimhaber,2026-08-05
arac,toyota,Toyota,Marka bazlı fiyatlar,sabit,2609000,2976000,3556000,2245000,4300000,24,1,donanimhaber,2026-08-05
arac,volkswagen,Volkswagen,Marka bazlı fiyatlar,sabit,2755000,3642500,6617000,2165000,7375000,40,1,donanimhaber,2026-08-05
arac,en-ucuz-sifir-arac,En ucuz sıfır araç (marka giriş fiyatı),,sabit,1517450,2100250,2772100,1299000,3724500,23,1,donanimhaber,2026-08-05
